iter	Passed	Remaining
0	748	748137
1	1087	542844
2	1985	659824
3	2696	671364
4	3360	668654
5	4039	669267
6	4709	668025
7	5355	664054
8	6045	665676
9	6726	665942
10	7454	670238
11	8130	669442
12	8915	676871
13	8927	628745
14	9612	631242
15	10324	634975
16	11027	637640
17	11726	639729
18	12632	652238
19	13498	661414
20	14367	669817
21	15216	676452
22	16130	685213
23	17020	692182
24	17935	699470
25	18760	702810
26	19609	706664
27	20457	710164
28	21292	712926
29	22204	717947
30	23354	730011
31	24625	744933
32	25712	753459
33	26920	764865
34	28172	776743
35	29456	788775
36	30646	797640
37	31795	804937
38	32871	809998
39	33926	814233
40	34819	814442
41	35862	818005
42	36831	819720
43	38229	830631
44	39381	835771
45	40630	842647
46	41729	846131
47	42802	848917
48	43994	853845
49	45274	860218
50	46512	865501
51	47718	869939
52	48902	873787
53	50333	881759
54	51879	891385
55	53223	897196
56	54522	902009
57	55907	908017
58	57233	912823
59	58478	916160
60	59930	922539
61	61083	924138
62	62291	926457
63	63502	928730
64	64876	933223
65	66071	935007
66	67138	934925
67	68094	933289
68	69150	933024
69	69955	929404
70	70833	926818
71	71661	923643
72	72528	921012
73	73422	918775
74	74407	917696
75	75589	919008
76	76922	922066
77	78109	923288
78	79384	925480
79	80482	925547
80	81668	926582
81	82796	926917
82	83957	927577
83	85258	929719
84	86586	932075
85	87854	933709
86	89083	934866
87	90275	935583
88	91671	938341
89	92741	937722
90	94113	940100
91	95572	943256
92	96882	944860
93	98233	946802
94	99489	947765
95	100815	949342
96	102129	950756
97	103440	952073
98	104706	952932
99	106065	954585
100	107316	955222
101	108629	956362
102	109880	956921
103	111257	958522
104	112597	959758
105	114023	961665
106	115383	962966
107	116752	964291
108	118080	965224
109	119376	965868
110	120856	967938
111	121759	965381
112	122914	964821
113	124002	963740
114	124548	958478
115	125400	955641
116	126173	952229
117	127048	949635
118	127957	947315
119	128856	944945
120	129742	942513
121	130596	939865
122	131461	937332
123	132336	934895
124	133231	932620
125	134127	930373
126	135025	928169
127	135919	925953
128	136836	923908
129	138150	924548
130	138977	921917
131	139798	919283
132	140625	916706
133	141434	914043
134	142270	911583
135	143111	909176
136	143935	906686
137	144768	904278
138	145599	901878
139	146413	899395
140	147251	897085
141	148073	894698
142	148907	892404
143	149736	890102
144	150625	888171
145	151464	885962
146	152536	885125
147	153555	883983
148	154569	882811
149	155652	882032
150	156655	880800
151	157723	879932
152	158819	879215
153	160581	882153
154	161822	882192
155	162889	881276
156	164178	881543
157	165466	881789
158	167825	887678
159	169980	892397
160	171479	893610
161	172988	894844
162	174323	895144
163	175592	895093
164	176893	895186
165	178308	895838
166	179647	896084
167	180908	895925
